player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0039139,J.Gibbs,RB,12,NYG,12,11,219,2,45,1,0,0,55.400000000000006,44.400000000000006
00-0038543,J.Smith-Njigba,WR,12,TEN,10,8,4,0,167,2,0,0,37.1,29.1
00-0031503,J.Winston,QB,12,DET,1,1,13,0,33,1,366,2,32.24,31.240000000000002
00-0036389,J.Hurts,QB,12,DAL,0,0,33,2,0,0,289,1,30.86,30.86
00-0038117,W.Robinson,WR,12,DET,14,9,0,0,156,1,0,0,30.6,21.6
00-0036963,A.St. Brown,WR,12,NYG,13,9,0,0,149,1,0,0,29.9,20.9
00-0037247,G.Pickens,WR,12,PHI,9,9,0,0,146,1,0,0,29.6,20.6
00-0033280,C.McCaffrey,RB,12,CAR,7,7,89,1,53,0,0,0,27.200000000000003,20.200000000000003
00-0033077,D.Prescott,QB,12,PHI,0,0,9,1,0,0,354,2,27.06,27.06
00-0038797,E.Wilson,RB,12,MIN,2,2,107,2,18,0,0,0,26.5,24.5
00-0035676,A.Brown,WR,12,DAL,10,8,0,0,110,1,0,0,25,17
00-0040122,A.Jeanty,RB,12,CLE,8,8,50,0,58,1,0,0,24.8,16.8
00-0033090,H.Henry,TE,12,CIN,10,7,0,0,115,1,0,0,24.5,17.5
00-0039067,R.Rice,WR,12,IND,12,8,0,0,141,0,0,0,24.1,16.1
00-0040676,C.Ward,QB,12,SEA,0,0,37,1,0,0,256,1,23.94,23.94
00-0034827,D.Moore,WR,12,PIT,7,5,0,0,64,2,0,0,23.4,18.4
00-0031381,D.Adams,WR,12,TB,8,5,0,0,62,2,0,0,23.2,18.2
00-0026498,M.Stafford,QB,12,TB,0,0,0,0,0,0,273,3,22.92,22.92
00-0032764,D.Henry,RB,12,NYJ,2,2,64,2,24,0,0,0,22.8,20.8
00-0037248,J.Cook,RB,12,HOU,3,3,116,1,13,0,0,0,21.9,18.9
00-0038559,M.Wilson,WR,12,JAX,15,10,0,0,118,0,0,0,21.8,11.8
00-0039918,C.Williams,QB,12,PIT,0,0,21,0,0,0,239,3,21.660000000000004,21.660000000000004
00-0040705,C.Dike,WR,12,SEA,7,5,0,0,44,1,0,0,21.4,16.4
00-0036973,T.Etienne,RB,12,ARI,4,3,86,0,30,1,0,0,20.6,17.6
00-0033923,K.Hunt,RB,12,IND,3,3,104,1,26,0,0,0,20,17
00-0033119,J.Brissett,QB,12,JAX,0,0,20,0,0,0,317,1,18.68,18.68
00-0037614,J.Metchie,WR,12,BAL,7,6,0,0,65,1,0,0,18.5,12.5
00-0036919,K.Gainwell,RB,12,CHI,6,6,92,0,30,0,0,0,18.200000000000003,12.200000000000001
00-0038606,P.Washington,WR,12,ARI,7,5,0,0,71,1,0,0,18.1,13.100000000000001
00-0034869,S.Darnold,QB,12,TEN,0,0,-1,0,0,0,244,2,17.659999999999997,17.659999999999997
00-0033106,J.Goff,QB,12,NYG,0,0,0,0,0,0,279,2,17.16,17.16
00-0036971,T.Lawrence,QB,12,ARI,0,0,29,0,0,0,256,3,17.14,17.14
