player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036898,D.Mills,QB,9,DEN,0,0,7,0,0,0,137,0,6.180000000000001,6.180000000000001
00-0030279,K.Allen,WR,9,TEN,5,2,0,0,41,0,0,0,6.1000000000000005,4.1000000000000005
00-0038576,C.Jones,WR,9,CHI,0,0,0,0,0,0,0,0,6,6
00-0038618,X.Hutchinson,WR,9,DEN,5,3,0,0,30,0,0,0,6,3
00-0039041,E.Higgins,TE,9,DAL,3,3,0,0,30,0,0,0,6,3
00-0039894,X.Worthy,WR,9,BUF,7,3,7,0,23,0,0,0,6,3
00-0039900,M.Kneeland,DE,9,ARI,0,0,0,0,0,0,0,0,6,6
00-0036626,D.Brown,WR,9,LV,7,3,4,0,25,0,0,0,5.9,2.9000000000000004
00-0040164,J.Lane,WR,9,SEA,5,3,0,0,29,0,0,0,5.9,2.9000000000000004
00-0039139,J.Gibbs,RB,9,MIN,3,3,25,0,3,0,0,0,5.800000000000001,2.8000000000000003
00-0039738,B.Corum,RB,9,NO,0,0,58,0,0,0,0,0,5.800000000000001,5.800000000000001
00-0039165,Z.Charbonnet,RB,9,WAS,1,1,25,0,21,0,0,0,5.6000000000000005,4.6000000000000005
00-0039066,M.Mayer,TE,9,JAX,7,3,0,0,26,0,0,0,5.6,2.6
00-0033858,J.Smith,TE,9,IND,5,3,0,0,25,0,0,0,5.5,2.5
00-0033307,K.Bourne,WR,9,NYG,2,2,0,0,34,0,0,0,5.4,3.4000000000000004
00-0040242,J.Croskey-Merritt,RB,9,SEA,1,1,38,0,3,0,0,0,5.1000000000000005,4.1000000000000005
00-0037525,J.Mason,RB,9,DET,1,1,36,0,1,0,0,0,4.7,3.7
00-0036422,A.Trautman,TE,9,HOU,2,2,0,0,25,0,0,0,4.5,2.5
00-0036755,J.Patterson,RB,9,TEN,0,0,44,0,0,0,0,0,4.4,4.4
00-0038685,C.Brooks,RB,9,CAR,2,2,0,0,24,0,0,0,4.4,2.4000000000000004
00-0039163,C.Stroud,QB,9,DEN,0,0,12,0,0,0,79,0,4.36,4.36
00-0036182,N.Westbrook-Ikhine,WR,9,BAL,4,2,0,0,22,0,0,0,4.2,2.2
00-0035689,D.Knox,TE,9,KC,1,1,0,0,30,0,0,0,4,3
00-0036628,J.Bates,TE,9,SEA,4,2,0,0,20,0,0,0,4,2
00-0038996,T.Kraft,TE,9,CAR,3,2,0,0,20,0,0,0,4,2
00-0040134,P.Bryant,WR,9,HOU,3,2,0,0,20,0,0,0,4,2
00-0036980,E.Moore,WR,9,KC,1,1,0,0,28,0,0,0,3.8000000000000003,2.8000000000000003
00-0040727,T.Harris,WR,9,TEN,2,2,0,0,18,0,0,0,3.8,1.8
00-0038839,M.Tinsley,WR,9,CHI,2,1,0,0,27,0,0,0,3.7,2.7
00-0039901,K.Coleman,WR,9,KC,2,2,0,0,17,0,0,0,3.7,1.7000000000000002
00-0031236,B.Cooks,WR,9,LA,3,2,0,0,16,0,0,0,3.6,1.6
00-0034975,J.Hill,RB,9,MIA,2,2,2,0,13,0,0,0,3.5,1.5
00-0034791,N.Chubb,RB,9,DEN,0,0,34,0,0,0,0,0,3.4000000000000004,3.4000000000000004
00-0037801,K.Turpin,WR,9,ARI,3,2,3,0,10,0,0,0,3.3,1.3
00-0038359,X.Smith,WR,9,NO,3,2,0,0,12,0,0,0,3.2,1.2000000000000002
00-0039342,X.Legette,WR,9,GB,3,1,0,0,22,0,0,0,3.2,2.2
00-0036415,V.Jefferson,WR,9,LAC,4,1,0,0,21,0,0,0,3.1,2.1
00-0038090,S.Moore,WR,9,NYG,1,1,0,0,21,0,0,0,3.1,2.1
00-0032392,A.Hooper,TE,9,ATL,1,1,0,0,20,0,0,0,3,2
00-0033357,T.Hill,TE,9,LA,0,0,30,0,0,0,0,0,3,3
00-0036244,C.Parkinson,TE,9,NO,2,2,0,0,10,0,0,0,3,1
00-0037809,C.Okonkwo,TE,9,LAC,2,2,0,0,10,0,0,0,3,1
00-0039391,K.Vidal,RB,9,TEN,1,0,30,0,0,0,0,0,3,3
00-0039150,B.Young,QB,9,GB,0,0,9,0,0,0,102,0,2.98,2.98
00-0040172,J.Watkins,WR,9,NYG,1,1,0,0,19,0,0,0,2.9000000000000004,1.9000000000000001
00-0033555,M.Hollins,WR,9,ATL,2,2,0,0,9,0,0,0,2.9,0.9
00-0040667,M.Golden,WR,9,CAR,3,2,0,0,9,0,0,0,2.9,0.9
00-0038454,K.Mitchell,RB,9,MIA,1,1,11,0,7,0,0,0,2.8,1.8
00-0040194,J.Hawes,TE,9,KC,2,1,0,0,18,0,0,0,2.8,1.8
00-0038797,E.Wilson,RB,9,CAR,2,1,16,0,1,0,0,0,2.7,1.7000000000000002
00-0040583,W.Marks,RB,9,DEN,3,0,27,0,0,0,0,0,2.7,2.7
00-0035640,D.Metcalf,WR,9,IND,4,2,0,0,6,0,0,0,2.6,0.6000000000000001
