player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0039075,P.Nacua,WR,16,SEA,16,12,0,0,225,2,0,0,46.5,34.5
00-0037239,C.Olave,WR,16,NYJ,16,10,0,0,148,2,0,0,36.8,26.8
00-0038597,C.Brown,RB,16,MIA,4,4,66,1,43,2,0,0,32.9,28.9
00-0033280,C.McCaffrey,RB,16,IND,8,6,117,0,29,2,0,0,32.6,26.6
00-0040122,A.Jeanty,RB,16,HOU,2,1,128,1,60,1,0,0,31.8,30.8
00-0036971,T.Lawrence,QB,16,DEN,0,0,20,1,0,0,279,3,31.16,31.16
00-0037834,B.Purdy,QB,16,IND,0,0,11,0,0,0,295,5,30.900000000000002,30.900000000000002
00-0026498,M.Stafford,QB,16,SEA,0,0,6,0,0,0,457,3,30.880000000000003,30.880000000000003
00-0036355,J.Herbert,QB,16,DAL,0,0,42,1,0,0,300,2,30.2,30.2
00-0038542,B.Robinson,RB,16,ARI,11,7,76,0,92,1,0,0,29.8,22.8
00-0037228,J.Warren,RB,16,DET,2,2,143,2,8,0,0,0,29.1,27.1
00-0036442,J.Burrow,QB,16,MIA,0,0,6,0,0,0,309,4,28.96,28.96
00-0038606,P.Washington,WR,16,DEN,10,6,0,0,145,1,0,0,26.5,20.5
00-0033106,J.Goff,QB,16,PIT,0,0,-1,0,0,0,364,3,26.46,26.46
00-0037248,J.Cook,RB,16,CLE,2,1,117,2,17,0,0,0,26.4,25.4
00-0037247,G.Pickens,WR,16,LAC,9,7,0,0,130,1,0,0,26,19
00-0038134,K.Walker,RB,16,LA,3,3,100,1,64,0,0,0,25.400000000000002,22.400000000000002
00-0037664,A.Pierce,WR,16,SF,4,4,0,0,86,2,0,0,24.6,20.6
00-0033288,G.Kittle,TE,16,IND,8,7,0,0,115,1,0,0,24.5,17.5
00-0036919,K.Gainwell,RB,16,DET,7,5,50,0,78,1,0,0,23.8,18.8
00-0039851,D.Maye,QB,16,BAL,0,0,25,0,0,0,380,2,23.700000000000003,23.700000000000003
00-0038543,J.Smith-Njigba,WR,16,LA,13,8,0,0,96,1,0,0,23.6,15.600000000000001
00-0031588,S.Diggs,WR,16,BAL,10,9,0,0,138,0,0,0,22.8,13.8
00-0032764,D.Henry,RB,16,NE,0,0,128,2,0,0,0,0,22.8,22.8
00-0039139,J.Gibbs,RB,16,PIT,13,10,2,0,66,1,0,0,22.8,12.8
00-0040730,R.Harvey,RB,16,JAX,5,4,50,1,71,0,0,0,22.1,18.1
00-0034827,D.Moore,WR,16,GB,7,5,12,0,97,1,0,0,21.9,16.9
00-0039032,T.Spears,RB,16,KC,5,5,52,1,53,0,0,0,21.5,16.5
00-0034844,S.Barkley,RB,16,WAS,2,0,132,1,0,0,0,0,21.200000000000003,21.200000000000003
00-0039064,Z.Flowers,WR,16,NE,7,7,18,1,84,0,0,0,21.200000000000003,14.200000000000003
00-0039918,C.Williams,QB,16,GB,0,0,30,0,0,0,250,2,21,21
00-0034348,C.Sutton,WR,16,JAX,12,6,0,0,86,1,0,0,20.6,14.6
00-0038544,Q.Johnston,WR,16,DAL,5,4,0,0,104,1,0,0,20.4,16.4
00-0036900,J.Chase,WR,16,MIA,11,9,0,0,109,0,0,0,19.9,10.9
00-0034869,S.Darnold,QB,16,LA,0,0,7,0,0,0,270,2,19.5,19.5
00-0040663,H.Fannin,TE,16,BUF,6,4,1,1,34,1,0,0,19.5,15.5
00-0036389,J.Hurts,QB,16,WAS,0,0,40,0,0,0,185,2,19.4,19.4
00-0037816,R.Doubs,WR,16,CHI,6,5,0,0,84,1,0,0,19.4,14.4
00-0040124,T.McMillan,WR,16,TB,10,6,0,0,73,1,0,0,19.3,13.3
00-0033077,D.Prescott,QB,16,LAC,0,0,14,0,0,0,244,2,19.159999999999997,19.159999999999997
00-0036970,K.Pitts,TE,16,ARI,9,7,0,0,57,1,0,0,18.7,11.7
00-0035676,A.Brown,WR,16,WAS,12,9,0,0,95,0,0,0,18.5,9.5
00-0036259,J.Jennings,WR,16,IND,6,5,0,0,71,1,0,0,18.1,13.100000000000001
00-0040676,C.Ward,QB,16,KC,0,0,9,0,0,0,228,2,18.02,18.02
00-0039040,D.Achane,RB,16,CIN,3,3,81,1,9,0,0,0,18,15
00-0036875,R.Stevenson,RB,16,BAL,3,2,51,1,27,0,0,0,17.8,15.8
00-0039150,B.Young,QB,16,TB,0,0,20,0,0,0,191,2,17.64,17.64
00-0029604,K.Cousins,QB,16,ARI,0,0,-3,1,0,0,197,2,17.58,17.58
00-0039165,Z.Charbonnet,RB,16,LA,4,4,32,1,22,0,0,0,17.4,13.4
00-0040743,T.Shough,QB,16,NYJ,0,0,8,0,0,0,308,1,17.12,17.12
00-0022942,P.Rivers,QB,16,SF,0,0,0,0,0,0,277,2,17.08,17.08
00-0036040,J.Johnson,TE,16,NYJ,9,8,0,0,89,0,0,0,16.9,8.9
00-0036223,J.Taylor,RB,16,SF,3,3,46,1,33,0,0,0,16.9,13.9
00-0036973,T.Etienne,RB,16,DEN,5,4,50,0,16,1,0,0,16.6,12.600000000000001
00-0040666,O.Hampton,RB,16,DAL,2,1,85,1,10,0,0,0,16.5,15.5
00-0037809,C.Okonkwo,TE,16,KC,8,6,0,0,44,1,0,0,16.4,10.4
00-0032464,K.Raymond,WR,16,PIT,5,4,0,0,62,1,0,0,16.2,12.2
00-0036912,D.Smith,WR,16,WAS,8,6,0,0,42,1,0,0,16.2,10.2
00-0039041,E.Higgins,TE,16,ATL,8,7,0,0,91,0,0,0,16.1,9.1
00-0023459,A.Rodgers,QB,16,DET,0,0,9,0,0,0,266,1,15.540000000000001,15.540000000000001
00-0033090,H.Henry,TE,16,BAL,7,6,0,0,35,1,0,0,15.5,9.5
00-0033357,T.Hill,TE,16,NYJ,6,4,42,0,36,0,38,1,15.32,11.32
00-0040669,I.TeSlaa,WR,16,PIT,7,4,0,0,52,1,0,0,15.2,11.2
00-0039732,B.Nix,QB,16,JAX,0,0,11,0,0,0,352,1,15.18,15.18
00-0039793,A.Barner,TE,16,LA,6,4,1,0,49,1,0,0,15,11
00-0038935,B.Strange,TE,16,DEN,7,5,0,0,39,1,0,0,14.9,9.9
00-0034383,D.Schultz,TE,16,LV,5,5,0,0,35,1,0,0,14.5,9.5
00-0036322,J.Jefferson,WR,16,NYG,8,6,0,0,85,0,0,0,14.5,8.5
00-0036410,T.Higgins,WR,16,MIA,3,3,0,0,53,1,0,0,14.3,11.3
00-0039338,B.Bowers,TE,16,HOU,5,5,0,0,33,1,0,0,14.3,9.3
00-0039915,L.McConkey,WR,16,DAL,6,4,0,0,43,1,0,0,14.3,10.3
00-0031408,M.Evans,WR,16,CAR,9,5,0,0,31,1,0,0,14.1,9.1
00-0030565,G.Smith,QB,16,HOU,0,0,0,0,0,0,201,2,14.04,14.04
00-0033555,M.Hollins,WR,16,BAL,9,7,0,0,69,0,0,0,13.9,6.9
00-0038611,C.Rodriguez,RB,16,PHI,1,1,63,1,6,0,0,0,13.9,12.9
00-0037197,I.Pacheco,RB,16,TEN,7,6,34,0,41,0,0,0,13.5,7.5
00-0038128,M.Willis,QB,16,CHI,0,0,44,0,0,0,121,1,13.24,13.24
00-0038559,M.Wilson,WR,16,ATL,3,2,0,0,52,1,0,0,13.2,11.2
00-0039738,B.Corum,RB,16,SEA,2,1,48,1,13,0,0,0,13.100000000000001,12.100000000000001
00-0040705,C.Dike,WR,16,KC,5,3,0,0,40,1,0,0,13,10
00-0034855,B.Mayfield,QB,16,CAR,0,0,49,0,0,0,145,1,12.700000000000001,12.700000000000001
00-0040131,K.Williams,WR,16,BAL,3,2,0,0,46,1,0,0,12.600000000000001,10.600000000000001
00-0034829,M.Gesicki,TE,16,MIA,4,3,0,0,35,1,0,0,12.5,9.5
00-0039874,J.Wright,RB,16,CIN,2,1,35,1,18,0,0,0,12.3,11.3
00-0040236,K.Monangai,RB,16,GB,4,3,50,0,43,0,0,0,12.3,9.3
00-0040737,T.Ferguson,TE,16,SEA,4,3,0,0,33,1,0,0,12.3,9.3
00-0034351,D.Goedert,TE,16,WAS,3,3,0,0,32,1,0,0,12.2,9.2
00-0036613,J.Waddle,WR,16,CIN,9,5,0,0,72,0,0,0,12.2,7.2
00-0033526,S.Perine,RB,16,MIA,3,2,25,1,16,0,0,0,12.100000000000001,10.100000000000001
00-0037240,J.Williams,WR,16,PIT,9,5,0,0,70,0,0,0,12,7
00-0039405,J.Jordan,RB,16,LV,5,5,53,0,17,0,0,0,12,7
00-0038997,J.Downs,WR,16,SF,9,5,3,0,65,0,0,0,11.8,6.800000000000001
00-0037840,K.Williams,RB,16,SEA,6,3,70,0,15,0,0,0,11.5,8.5
00-0039163,C.Stroud,QB,16,LV,0,0,0,0,0,0,187,1,11.48,11.48
00-0033293,A.Jones,RB,16,NYG,3,2,85,0,8,0,0,0,11.3,9.3
00-0040668,S.Sanders,QB,16,BUF,0,0,49,0,0,0,157,1,11.180000000000001,11.180000000000001
00-0036358,C.Lamb,WR,16,LAC,7,6,0,0,51,0,0,0,11.100000000000001,5.1000000000000005
00-0033119,J.Brissett,QB,16,ATL,0,0,5,0,0,0,203,1,10.620000000000001,10.620000000000001
00-0039868,T.Franklin,WR,16,JAX,5,4,0,0,66,0,0,0,10.600000000000001,6.6000000000000005
00-0032775,D.Robinson,WR,16,IND,2,2,0,0,23,1,0,0,10.3,8.3
00-0035261,T.Pollard,RB,16,KC,0,0,102,0,0,0,0,0,10.200000000000001,10.200000000000001
00-0039880,M.Washington,WR,16,CIN,1,1,9,1,23,0,0,0,10.2,9.2
00-0040784,Q.Judkins,RB,16,BUF,6,5,22,0,29,0,0,0,10.100000000000001,5.1000000000000005
00-0040277,J.Walker,WR,16,GB,3,2,0,0,21,1,0,0,10.1,8.1
00-0039798,I.Davis,RB,16,NO,4,4,8,0,52,0,0,0,10,6
00-0036554,N.Collins,WR,16,LV,9,4,0,0,59,0,0,0,9.9,5.9
00-0039384,T.Tracy,RB,16,MIN,2,2,71,0,7,0,0,0,9.8,7.800000000000001
00-0039410,R.Flournoy,WR,16,LAC,2,2,0,0,18,1,0,0,9.8,7.8
00-0038555,T.Bigsby,RB,16,WAS,0,0,37,1,0,0,0,0,9.7,9.7
00-0035291,T.Williams,RB,16,BUF,4,4,17,0,38,0,0,0,9.5,5.5
00-0030279,K.Allen,WR,16,DAL,5,5,0,0,44,0,0,0,9.4,4.4
00-0036963,A.St. Brown,WR,16,PIT,9,4,0,0,54,0,0,0,9.4,5.4
00-0038563,T.Tucker,WR,16,HOU,5,4,11,0,43,0,0,0,9.4,5.4
00-0040727,T.Harris,WR,16,DAL,5,4,0,0,54,0,0,0,9.4,5.4
00-0040134,P.Bryant,WR,16,JAX,8,5,0,0,42,0,0,0,9.2,4.2
00-0037545,R.Shaheed,WR,16,LA,1,0,31,0,0,0,0,0,9.1,9.1
00-0036275,D.Swift,RB,16,GB,2,2,58,0,12,0,0,0,9,7
00-0030035,A.Thielen,WR,16,DET,4,4,0,0,49,0,0,0,8.9,4.9
00-0039356,J.Sanders,TE,16,TB,2,2,0,0,9,1,0,0,8.9,6.9
00-0040170,E.Ayomanor,WR,16,KC,4,3,0,0,58,0,0,0,8.8,5.800000000000001
00-0034960,J.Meyers,WR,16,DEN,8,4,1,0,45,0,0,0,8.600000000000001,4.6000000000000005
00-0040242,J.Croskey-Merritt,RB,16,PHI,0,0,25,1,0,0,0,0,8.5,8.5
00-0037475,S.Smartt,TE,16,NO,5,5,0,0,34,0,0,0,8.4,3.4000000000000004
00-0039923,J.McCarthy,QB,16,NYG,0,0,20,1,0,0,108,0,8.32,8.32
00-0035659,T.McLaurin,WR,16,PHI,4,3,0,0,53,0,0,0,8.3,5.300000000000001
00-0036139,R.Dowdle,RB,16,TB,6,4,29,0,14,0,0,0,8.3,4.3
00-0037263,T.Allgeier,RB,16,ARI,1,1,79,0,-6,0,0,0,8.3,7.300000000000001
00-0038120,B.Hall,RB,16,NO,3,2,54,0,9,0,0,0,8.3,6.300000000000001
00-0038797,E.Wilson,RB,16,CHI,0,0,82,0,0,0,0,0,8.200000000000001,8.200000000000001
00-0035640,D.Metcalf,WR,16,DET,9,4,0,0,42,0,0,0,8.2,4.2
00-0030564,D.Hopkins,WR,16,NE,5,4,0,0,41,0,0,0,8.100000000000001,4.1000000000000005
00-0039623,M.Tipton,WR,16,NYJ,5,4,12,0,29,0,0,0,8.100000000000001,4.1000000000000005
00-0033455,A.Firkser,TE,16,PIT,4,4,0,0,40,0,0,0,8,4
00-0033921,C.Godwin,WR,16,CAR,6,5,0,0,30,0,0,0,8,3
00-0037256,R.White,RB,16,CAR,2,2,45,0,15,0,0,0,8,6
00-0038359,X.Smith,WR,16,SEA,2,2,0,0,57,0,0,0,7.7,5.7
