player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036875,R.Stevenson,RB,18,MIA,2,2,131,2,22,1,0,0,35.3,33.3
00-0039064,Z.Flowers,WR,18,PIT,6,4,0,0,138,2,0,0,29.8,25.8
00-0037664,A.Pierce,WR,18,HOU,7,4,0,0,132,2,0,0,29.200000000000003,25.200000000000003
00-0033869,M.Trubisky,QB,18,NYJ,0,0,5,0,0,0,259,4,28.86,28.86
00-0039384,T.Tracy,RB,18,DAL,9,8,103,0,56,1,0,0,27.9,19.9
00-0026498,M.Stafford,QB,18,ARI,0,0,3,0,0,0,259,4,26.66,26.66
00-0039075,P.Nacua,WR,18,ARI,11,10,24,0,76,1,0,0,26,16
00-0039875,R.Davis,RB,18,NYJ,2,2,151,0,23,1,0,0,25.400000000000002,23.400000000000002
00-0040126,C.Loveland,TE,18,DET,13,10,0,0,91,1,0,0,25.1,15.1
00-0036963,A.St. Brown,WR,18,CHI,15,11,0,0,139,0,0,0,24.9,13.9
00-0036900,J.Chase,WR,18,CLE,10,8,0,0,96,1,0,0,23.6,15.600000000000001
00-0036971,T.Lawrence,QB,18,TEN,0,0,11,0,0,0,255,3,23.300000000000004,23.300000000000004
00-0040206,R.Leonard,QB,18,HOU,0,0,21,1,-3,0,270,2,22.6,22.6
00-0038129,C.Otton,TE,18,CAR,9,7,0,0,94,1,0,0,22.4,15.4
00-0040743,T.Shough,QB,18,ATL,0,0,34,1,0,0,259,1,21.759999999999998,21.759999999999998
00-0036919,K.Gainwell,RB,18,BAL,9,8,10,1,64,0,0,0,21.4,13.4
00-0036442,J.Burrow,QB,18,CLE,0,0,17,0,0,0,236,3,21.139999999999997,21.139999999999997
00-0038559,M.Wilson,WR,18,LA,8,5,0,0,99,1,0,0,20.9,15.9
00-0034796,L.Jackson,QB,18,PIT,0,0,9,0,0,0,238,3,20.419999999999998,20.419999999999998
00-0040691,J.Dart,QB,18,DAL,0,0,32,0,0,0,230,2,20.400000000000002,20.400000000000002
00-0039139,J.Gibbs,RB,18,CHI,5,3,80,0,33,1,0,0,20.3,17.3
00-0033110,T.Higbee,TE,18,ARI,6,5,0,0,91,1,0,0,20.1,15.1
00-0038606,P.Washington,WR,18,TEN,9,5,0,0,87,1,0,0,19.700000000000003,14.700000000000001
00-0035537,Ty.Johnson,RB,18,NYJ,2,2,36,1,20,1,0,0,19.6,17.6
00-0036244,C.Parkinson,TE,18,ARI,7,4,0,0,36,2,0,0,19.6,15.6
00-0038597,C.Brown,RB,18,CLE,6,4,72,0,18,1,0,0,19,15
00-0039165,Z.Charbonnet,RB,18,SF,4,3,74,1,23,0,0,0,18.700000000000003,15.700000000000001
00-0036410,T.Higgins,WR,18,CLE,9,6,0,0,67,1,0,0,18.7,12.7
00-0036322,J.Jefferson,WR,18,GB,11,8,3,0,101,0,0,0,18.4,10.4
00-0035645,G.Olszewski,WR,18,DAL,9,8,0,0,102,0,0,0,18.200000000000003,10.200000000000001
00-0037238,D.London,WR,18,NO,8,4,0,0,78,1,0,0,17.8,13.8
00-0023459,A.Rodgers,QB,18,BAL,0,0,20,0,0,0,294,1,17.759999999999998,17.759999999999998
00-0038555,T.Bigsby,RB,18,WAS,1,1,75,1,31,0,0,0,17.6,16.6
