player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036139,R.Dowdle,RB,5,MIA,4,3,206,1,28,0,0,0,32.400000000000006,29.400000000000002
00-0036223,J.Taylor,RB,5,LV,4,3,66,3,20,0,0,0,31.6,28.6
00-0040129,E.Egbuka,WR,5,SEA,7,7,0,0,163,1,0,0,31.3,24.3
00-0037840,K.Williams,RB,5,SF,10,8,65,0,66,2,0,0,31.1,23.1
00-0036900,J.Chase,WR,5,DET,10,6,0,0,110,2,0,0,29,23
00-0039163,C.Stroud,QB,5,BAL,0,0,30,0,0,0,244,4,28.759999999999998,28.759999999999998
00-0033077,D.Prescott,QB,5,NYJ,0,0,28,0,0,0,237,4,28.28,28.28
00-0033280,C.McCaffrey,RB,5,LA,9,8,57,0,82,1,0,0,27.9,19.9
00-0034869,S.Darnold,QB,5,TB,0,0,0,0,0,0,341,4,27.64,27.64
00-0038543,J.Smith-Njigba,WR,5,TB,9,8,0,0,132,1,0,0,27.200000000000003,19.200000000000003
00-0040242,J.Croskey-Merritt,RB,5,LAC,2,2,111,2,39,0,0,0,27,25
00-0036997,J.Williams,RB,5,NYJ,2,1,135,1,4,1,0,0,26.9,25.9
00-0033873,P.Mahomes,QB,5,JAX,0,0,60,1,0,0,318,1,26.72,26.72
00-0034855,B.Mayfield,QB,5,SEA,0,0,15,0,0,0,379,2,26.66,26.66
00-0036971,T.Lawrence,QB,5,KC,0,0,54,2,0,0,221,1,26.240000000000002,26.240000000000002
00-0036945,J.Fields,QB,5,DAL,0,0,26,0,0,0,283,2,25.92,25.92
00-0026498,M.Stafford,QB,5,SF,0,0,0,0,0,0,389,3,25.560000000000002,25.560000000000002
00-0031588,S.Diggs,WR,5,BUF,12,10,0,0,146,0,0,0,24.6,14.600000000000001
00-0039075,P.Nacua,WR,5,SF,12,10,0,0,85,1,0,0,24.5,14.5
00-0039793,A.Barner,TE,5,TB,7,7,0,0,53,2,0,0,24.3,17.3
00-0033307,K.Bourne,WR,5,LA,11,10,0,0,142,0,0,0,24.200000000000003,14.200000000000001
00-0038041,J.Ferguson,TE,5,NYJ,9,7,0,0,49,2,0,0,23.9,16.9
00-0035719,D.Samuel,WR,5,LAC,11,8,0,0,96,1,0,0,23.6,15.600000000000001
00-0037256,R.White,RB,5,SEA,4,4,41,2,30,0,0,0,23.1,19.1
00-0036613,J.Waddle,WR,5,CAR,9,6,0,0,110,1,0,0,23,17
00-0036212,T.Tagovailoa,QB,5,CAR,0,0,5,0,0,0,256,3,22.740000000000002,22.740000000000002
00-0036972,M.Jones,QB,5,LA,0,0,5,0,0,0,342,2,22.18,22.18
00-0037545,R.Shaheed,WR,5,NYG,5,4,0,0,114,1,0,0,21.4,17.4
00-0039847,T.Johnson,TE,5,NO,7,6,0,0,33,2,0,0,21.3,15.3
00-0039065,S.LaPorta,TE,5,CIN,6,5,0,0,92,1,0,0,20.200000000000003,15.200000000000001
00-0033106,J.Goff,QB,5,CIN,0,0,-2,0,0,0,258,3,20.12,20.12
00-0036389,J.Hurts,QB,5,DEN,0,0,3,0,0,0,280,2,19.500000000000004,19.500000000000004
00-0034857,J.Allen,QB,5,NE,0,0,53,0,0,0,253,2,19.42,19.42
00-0036912,D.Smith,WR,5,DEN,10,8,0,0,114,0,0,0,19.4,11.4
00-0036322,J.Jefferson,WR,5,CLE,11,7,0,0,123,0,0,0,19.3,12.3
00-0035100,J.Browning,QB,5,DET,0,0,31,0,0,0,251,3,19.14,19.14
00-0030506,T.Kelce,TE,5,JAX,8,7,0,0,61,1,0,0,19.1,12.100000000000001
00-0037740,G.Wilson,WR,5,DAL,10,6,0,0,71,1,0,0,19.1,13.100000000000001
00-0031610,D.Waller,TE,5,CAR,5,5,0,0,78,1,0,0,18.8,13.8
00-0033885,D.Njoku,TE,5,MIN,9,6,0,0,67,1,0,0,18.7,12.7
00-0033923,K.Hunt,RB,5,JAX,1,1,49,2,8,0,0,0,18.7,17.7
00-0039410,R.Flournoy,WR,5,NYJ,9,6,10,0,114,0,0,0,18.4,12.4
00-0036924,M.Carter,RB,5,TEN,5,5,51,1,22,0,0,0,18.3,13.3
00-0035685,D.Montgomery,RB,5,CIN,1,1,65,1,6,0,3,1,18.22,17.22
00-0034837,C.Ridley,WR,5,ARI,10,5,0,0,131,0,0,0,18.1,13.100000000000001
00-0036963,A.St. Brown,WR,5,CIN,9,8,0,0,100,0,0,0,18,10
00-0034348,C.Sutton,WR,5,PHI,10,8,0,0,99,0,0,0,17.9,9.9
00-0039732,B.Nix,QB,5,PHI,0,0,22,0,0,0,242,1,17.88,17.88
00-0034844,S.Barkley,RB,5,DEN,3,3,30,0,58,1,0,0,17.8,14.8
00-0040736,M.Taylor,TE,5,DAL,12,9,0,0,67,0,0,0,17.7,8.7
00-0038120,B.Hall,RB,5,DAL,5,4,113,0,42,0,0,0,17.5,13.5
00-0039910,J.Daniels,QB,5,LAC,0,0,39,0,0,0,231,1,17.14,17.14
00-0037112,J.Tonges,TE,5,LA,11,7,0,0,41,1,0,0,17.1,10.100000000000001
00-0038618,X.Hutchinson,WR,5,BAL,3,3,0,0,18,2,0,0,16.8,13.8
00-0038933,D.Kincaid,TE,5,NE,6,6,0,0,108,0,0,0,16.8,10.8
00-0039139,J.Gibbs,RB,5,CIN,2,2,54,0,33,1,0,0,16.700000000000003,14.700000000000001
00-0035710,D.Jones,QB,5,LV,0,0,2,0,0,0,212,2,16.68,16.68
00-0039040,D.Achane,RB,5,CAR,7,6,16,0,30,1,0,0,16.6,10.600000000000001
00-0039376,S.Rattler,QB,5,NYG,1,1,21,0,0,0,225,1,16.1,15.1
00-0040704,D.Gabriel,QB,5,MIN,0,0,5,0,0,0,190,2,16.1,16.1
00-0036554,N.Collins,WR,5,BAL,5,4,8,0,52,1,0,0,16,12
00-0040122,A.Jeanty,RB,5,IND,7,5,67,0,42,0,0,0,15.9,10.9
00-0040691,J.Dart,QB,5,NO,0,0,55,0,0,0,202,2,15.579999999999998,15.579999999999998
00-0036158,J.Dobbins,RB,5,PHI,1,1,79,1,5,0,0,0,15.4,14.4
00-0035228,K.Murray,QB,5,TEN,0,0,25,1,0,0,220,0,15.3,15.3
00-0038994,J.Addison,WR,5,CLE,6,5,0,0,41,1,0,0,15.100000000000001,10.100000000000001
00-0036252,M.Pittman,WR,5,LV,6,5,0,0,39,1,0,0,14.9,9.9
00-0039915,L.McConkey,WR,5,WAS,7,5,0,0,39,1,0,0,14.9,9.9
00-0035261,T.Pollard,RB,5,ARI,3,3,67,1,11,0,0,0,14.8,11.8
00-0032950,C.Wentz,QB,5,CLE,0,0,13,0,0,0,236,1,14.74,14.74
00-0036875,R.Stevenson,RB,5,BUF,2,2,14,2,13,0,0,0,14.7,12.7
00-0036355,J.Herbert,QB,5,WAS,0,0,60,0,0,0,166,1,14.64,14.64
00-0040128,T.Warren,TE,5,LV,4,4,0,0,44,1,0,0,14.4,10.4
00-0040715,C.Skattebo,RB,5,NO,7,6,59,0,45,0,0,0,14.4,8.4
00-0031381,D.Adams,WR,5,SF,11,5,0,0,88,0,0,0,13.8,8.8
00-0039849,M.Harrison,WR,5,TEN,5,4,0,0,98,0,0,0,13.8,9.8
00-0040784,Q.Judkins,RB,5,MIN,2,1,110,0,18,0,0,0,13.8,12.8
00-0037247,G.Pickens,WR,5,NYJ,4,2,0,0,57,1,0,0,13.7,11.7
00-0033881,E.Engram,TE,5,PHI,6,4,0,0,33,1,0,0,13.3,9.3
00-0040124,T.McMillan,WR,5,MIA,8,6,0,0,73,0,0,0,13.3,7.300000000000001
00-0038619,A.Iosivas,WR,5,DET,7,5,0,0,82,0,0,0,13.200000000000001,8.200000000000001
00-0040666,O.Hampton,RB,5,WAS,6,6,44,0,26,0,0,0,13,7
00-0037239,C.Olave,WR,5,NYG,11,7,0,0,59,0,0,0,12.9,5.9
00-0040648,T.Horton,WR,5,TB,4,3,0,0,39,1,0,0,12.9,9.9
00-0037525,J.Mason,RB,5,CLE,4,3,52,1,4,0,0,0,12.600000000000001,9.600000000000001
00-0039064,Z.Flowers,WR,5,HOU,5,5,0,0,72,0,0,0,12.2,7.2
00-0039851,D.Maye,QB,5,BUF,0,0,12,0,0,0,273,0,12.120000000000001,12.120000000000001
00-0034791,N.Chubb,RB,5,BAL,1,0,61,1,0,0,0,0,12.100000000000001,12.100000000000001
00-0038129,C.Otton,TE,5,SEA,5,4,0,0,81,0,0,0,12.1,8.1
00-0039150,B.Young,QB,5,MIA,0,0,1,0,0,0,198,2,12.02,12.02
00-0038104,T.Thornton,WR,5,JAX,5,3,0,0,90,0,0,0,12,9
00-0039893,B.Thomas,WR,5,KC,6,4,0,0,80,0,0,0,12,8
00-0032385,S.Shepard,WR,5,SEA,5,4,-5,0,24,1,0,0,11.9,7.9
00-0033908,C.Kupp,WR,5,TB,9,6,0,0,59,0,0,0,11.9,5.9
00-0038597,C.Brown,RB,5,DET,8,7,27,0,21,0,0,0,11.8,4.800000000000001
00-0039165,Z.Charbonnet,RB,5,TB,2,1,36,1,12,0,0,0,11.8,10.8
00-0035249,J.Oliver,TE,5,CLE,3,2,0,0,35,1,0,0,11.5,9.5
00-0038997,J.Downs,WR,5,LV,8,6,0,0,54,0,0,0,11.4,5.4
00-0040663,H.Fannin,TE,5,MIN,4,4,0,0,13,1,0,0,11.3,7.3
00-0036410,T.Higgins,WR,5,DET,7,3,0,0,22,1,0,0,11.2,8.2
00-0038563,T.Tucker,WR,5,IND,6,4,9,0,62,0,0,0,11.100000000000001,7.1000000000000005
00-0039894,X.Worthy,WR,5,JAX,9,6,9,0,42,0,0,0,11.100000000000001,5.1000000000000005
00-0039342,X.Legette,WR,5,MIA,3,2,0,0,31,1,0,0,11.1,9.1
00-0034383,D.Schultz,TE,5,BAL,6,5,0,0,60,0,0,0,11,6
00-0037261,K.Shakir,WR,5,NE,9,6,5,0,45,0,0,0,11,5
00-0034351,D.Goedert,TE,5,DEN,9,3,0,0,19,1,0,0,10.9,7.9
00-0030279,K.Allen,WR,5,WAS,9,5,0,0,58,0,0,0,10.8,5.800000000000001
00-0033282,C.Samuel,WR,5,NE,2,2,0,0,26,1,0,0,10.6,8.6
00-0034775,C.Kirk,WR,5,BAL,4,4,0,0,64,0,0,0,10.4,6.4
00-0039901,K.Coleman,WR,5,NE,7,4,0,0,23,1,0,0,10.3,6.300000000000001
00-0040237,T.Johnson,WR,5,SEA,4,4,2,0,59,0,0,0,10.100000000000001,6.1000000000000005
00-0035229,T.Hockenson,TE,5,CLE,6,6,0,0,38,0,0,0,9.8,3.8000000000000003
00-0040138,J.Noel,WR,5,BAL,3,2,5,0,13,1,0,0,9.8,7.8
00-0038134,K.Walker,RB,5,TB,1,1,86,0,0,0,0,0,9.6,8.6
00-0038606,P.Washington,WR,5,KC,3,2,0,0,16,1,0,0,9.6,7.6
00-0033906,A.Kamara,RB,5,NYG,6,4,27,0,28,0,0,0,9.5,5.5
00-0037157,Z.Knight,RB,5,TEN,1,1,11,1,13,0,0,0,9.4,8.4
00-0040718,T.Hunter,WR,5,KC,3,3,0,0,64,0,0,0,9.4,6.4
00-0032764,D.Henry,RB,5,HOU,1,0,33,1,0,0,0,0,9.3,9.3
00-0035676,A.Brown,WR,5,DEN,8,5,0,0,43,0,0,0,9.3,4.3
00-0036849,T.Atwell,WR,5,SF,4,2,0,0,72,0,0,0,9.2,7.2
00-0038115,D.Bellinger,TE,5,NO,4,4,0,0,52,0,0,0,9.2,5.2
00-0037744,T.McBride,TE,5,TEN,7,5,0,0,41,0,0,0,9.100000000000001,4.1000000000000005
00-0036754,B.Wright,TE,5,CIN,3,2,0,0,9,1,0,0,8.9,6.9
00-0035662,M.Brown,WR,5,JAX,8,4,0,0,48,0,0,0,8.8,4.800000000000001
00-0036973,T.Etienne,RB,5,KC,4,3,49,0,9,0,0,0,8.8,5.800000000000001
00-0037809,C.Okonkwo,TE,5,ARI,5,4,0,0,48,0,0,0,8.8,4.800000000000001
00-0037197,I.Pacheco,RB,5,JAX,3,3,36,0,20,0,0,0,8.600000000000001,5.6000000000000005
00-0036423,A.Okwuegbunam,TE,5,IND,6,5,0,0,36,0,0,0,8.6,3.6
00-0039868,T.Franklin,WR,5,PHI,5,3,0,0,35,0,0,0,8.5,5.5
00-0038117,W.Robinson,WR,5,NO,7,5,2,0,30,0,0,0,8.2,3.2
00-0040669,I.TeSlaa,WR,5,CIN,1,1,0,0,12,1,0,0,8.2,7.2
00-0040676,C.Ward,QB,5,ARI,0,0,-6,0,0,0,265,0,8,8
00-0033943,J.Reynolds,WR,5,DAL,4,3,0,0,29,0,0,0,7.9,4.9
00-0035021,A.Dulin,WR,5,LV,5,2,0,0,55,0,0,0,7.5,5.5
00-0040187,M.Evans,TE,5,MIA,1,1,0,0,4,1,0,0,7.4,6.4
00-0040584,G.Helm,TE,5,ARI,5,4,0,0,34,0,0,0,7.4,3.4000000000000004
00-0038608,K.Boutte,WR,5,BUF,3,3,0,0,43,0,0,0,7.3,4.3
00-0034960,J.Meyers,WR,5,IND,6,4,0,0,32,0,0,0,7.2,3.2
00-0037291,J.Nailor,WR,5,CLE,4,3,15,0,27,0,0,0,7.2,4.2
00-0040130,J.Higgins,WR,5,BAL,4,4,0,0,32,0,0,0,7.2,3.2
00-0034959,A.Beck,RB,5,DAL,2,1,0,0,1,1,0,0,7.1,6.1
00-0032775,D.Robinson,WR,5,LA,7,3,0,0,39,0,0,0,6.9,3.9000000000000004
00-0038544,Q.Johnston,WR,5,WAS,4,4,9,0,40,0,0,0,6.9,2.9000000000000004
00-0037805,J.Ruckert,TE,5,DAL,4,4,0,0,28,0,0,0,6.800000000000001,2.8000000000000003
00-0030564,D.Hopkins,WR,5,HOU,2,2,0,0,46,0,0,0,6.6000000000000005,4.6000000000000005
00-0033090,H.Henry,TE,5,BUF,4,2,0,0,46,0,0,0,6.6000000000000005,4.6000000000000005
00-0032104,A.Abdullah,RB,5,LV,0,0,6,1,0,0,0,0,6.6,6.6
00-0040078,B.Smith,RB,5,JAX,3,3,4,0,32,0,0,0,6.6,3.6
00-0039798,I.Davis,RB,5,DAL,4,3,5,0,28,0,0,0,6.300000000000001,3.3000000000000003
00-0038720,J.Hill,TE,5,CAR,5,4,0,0,22,0,0,0,6.2,2.2
00-0038705,E.Demercado,RB,5,TEN,0,0,81,0,0,0,0,0,6.1,6.1
00-0039355,L.McCaffrey,WR,5,LAC,2,1,0,0,50,0,0,0,6,5
00-0040730,R.Harvey,RB,5,PHI,3,3,12,0,18,0,0,0,6,3
00-0030565,G.Smith,QB,5,IND,0,0,8,0,0,0,228,0,5.920000000000001,5.920000000000001
00-0038551,K.Miller,RB,5,NYG,1,1,41,0,8,0,0,0,5.9,4.9
00-0037267,J.Ford,RB,5,MIN,2,2,18,0,20,0,0,0,5.800000000000001,3.8000000000000003
00-0040729,J.Bech,WR,5,IND,5,3,0,0,27,0,0,0,5.7,2.7
00-0033921,C.Godwin,WR,5,SEA,4,3,0,0,26,0,0,0,5.6,2.6
00-0036988,J.Palmer,WR,5,NE,2,2,0,0,36,0,0,0,5.6,3.6
00-0039751,J.Whittington,WR,5,SF,3,2,0,0,33,0,0,0,5.300000000000001,3.3000000000000003
00-0036414,C.Akers,RB,5,CLE,0,0,0,0,0,0,32,1,5.28,5.28
00-0040218,Ji.Horn,WR,5,MIA,3,2,10,0,21,0,0,0,5.1,3.1
00-0029892,K.Juszczyk,FB,5,LA,4,3,-1,0,21,0,0,0,5,2
00-0034270,T.Conklin,TE,5,WAS,3,2,0,0,30,0,0,0,5,3
00-0034365,I.Thomas,TE,5,IND,3,3,0,0,20,0,0,0,5,2
00-0033526,S.Perine,RB,5,DET,2,2,27,0,2,0,0,0,4.9,2.9000000000000004
00-0037248,J.Cook,RB,5,NE,1,0,49,0,0,0,0,0,4.9,4.9
00-0040782,I.Bond,WR,5,MIN,7,2,0,0,29,0,0,0,4.9,2.9000000000000004
00-0040734,T.Henderson,RB,5,BUF,3,2,24,0,3,0,0,0,4.7,2.7
00-0037093,D.Young,WR,5,TB,1,1,0,0,36,0,0,0,4.6,3.6
00-0039074,D.Allen,TE,5,SF,2,2,0,0,24,0,0,0,4.4,2.4000000000000004
00-0039458,B.Bates,TE,5,BAL,2,2,0,0,23,0,0,0,4.300000000000001,2.3000000000000003
00-0034753,M.Andrews,TE,5,HOU,3,2,0,0,22,0,0,0,4.2,2.2
00-0035535,D.Slayton,WR,5,NO,6,3,0,0,31,0,0,0,4.1,1.1
00-0039880,M.Washington,WR,5,CAR,5,4,0,0,0,0,0,0,4,0
00-0038976,M.Mims,WR,5,PHI,5,2,9,0,10,0,0,0,3.9000000000000004,1.9000000000000001
00-0040644,T.Etienne,RB,5,MIA,1,1,22,0,7,0,0,0,3.9000000000000004,2.9000000000000004
00-0037086,G.Calcaterra,TE,5,DEN,2,2,0,0,18,0,0,0,3.8,1.8
00-0040170,E.Ayomanor,WR,5,ARI,4,2,0,0,18,0,0,0,3.8,1.8
00-0033857,J.Smith-Schuster,WR,5,JAX,3,2,0,0,17,0,0,0,3.7,1.7000000000000002
00-0036040,J.Johnson,TE,5,NYG,4,2,0,0,17,0,0,0,3.7,1.7000000000000002
00-0038621,D.Douglas,WR,5,BUF,3,2,0,0,17,0,0,0,3.7,1.7000000000000002
00-0040705,C.Dike,WR,5,ARI,5,2,0,0,17,0,0,0,3.7,1.7000000000000002
00-0036328,A.Gibson,RB,5,BUF,1,1,21,0,5,0,0,0,3.6,2.6
00-0037348,T.Conner,TE,5,CAR,2,2,0,0,16,0,0,0,3.6,1.6
00-0038559,Mi.Wilson,WR,5,TEN,4,2,0,0,16,0,0,0,3.6,1.6
00-0034829,M.Gesicki,TE,5,DET,5,2,0,0,15,0,0,0,3.5,1.5
00-0035689,D.Knox,TE,5,NE,2,2,0,0,15,0,0,0,3.5,1.5
00-0036407,J.Jeudy,WR,5,MIN,5,2,0,0,15,0,0,0,3.5,1.5
00-0036626,D.Brown,WR,5,KC,4,2,0,0,15,0,0,0,3.5,1.5
00-0035250,D.Singletary,RB,5,NO,2,1,20,0,4,0,0,0,3.4000000000000004,2.4000000000000004
00-0037741,J.Dotson,WR,5,DEN,3,1,0,0,24,0,0,0,3.4000000000000004,2.4000000000000004
00-0039424,D.Vele,WR,5,NYG,2,2,0,0,13,0,0,0,3.3,1.3
00-0035500,G.Dortch,WR,5,TEN,2,2,0,0,12,0,0,0,3.2,1.2000000000000002
00-0038935,B.Strange,TE,5,KC,1,1,0,0,22,0,0,0,3.2,2.2
00-0039379,J.Thrash,WR,5,MIN,1,1,0,0,22,0,0,0,3.2,2.2
00-0040737,T.Ferguson,TE,5,SF,1,1,0,0,21,0,0,0,3.1,2.1
00-0039041,E.Higgins,TE,5,TEN,2,2,0,0,10,0,0,0,3,1
00-0039391,K.Vidal,RB,5,WAS,1,1,18,0,1,0,0,0,2.9000000000000004,1.9000000000000001
