player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0036223,J.Taylor,RB,10,ATL,3,3,244,3,42,0,0,0,49.6,46.6
00-0039040,D.Achane,RB,10,BUF,6,6,174,2,51,0,0,0,40.5,34.5
00-0039139,J.Gibbs,RB,10,WAS,4,3,142,2,30,1,0,0,38.2,35.2
00-0040734,T.Henderson,RB,10,TB,1,1,147,2,3,0,0,0,28,27
00-0037744,T.McBride,TE,10,SEA,13,9,0,0,127,1,0,0,27.700000000000003,18.700000000000003
00-0036898,D.Mills,QB,10,JAX,0,0,20,1,0,0,292,2,27.68,27.68
00-0026498,M.Stafford,QB,10,SF,0,0,-3,0,0,0,280,4,26.900000000000002,26.900000000000002
00-0040691,J.Dart,QB,10,CHI,0,0,66,2,0,0,242,0,26.28,26.28
00-0039918,C.Williams,QB,10,NYG,0,0,63,1,0,0,220,1,25.1,25.1
00-0033106,J.Goff,QB,10,WAS,0,0,0,0,0,0,320,3,24.8,24.8
00-0037238,D.London,WR,10,IND,8,6,0,0,104,1,0,0,24.4,18.4
00-0037240,J.Williams,WR,10,WAS,7,6,0,0,119,1,0,0,23.9,17.9
00-0040129,E.Egbuka,WR,10,NE,13,6,0,0,115,1,0,0,23.5,17.5
00-0033288,G.Kittle,TE,10,LA,9,9,0,0,84,1,0,0,23.4,14.4
00-0037291,J.Nailor,WR,10,BAL,6,5,0,0,124,1,0,0,23.4,18.4
00-0036972,M.Jones,QB,10,LA,0,0,3,0,0,0,319,3,23.06,23.06
00-0034855,B.Mayfield,QB,10,NE,0,0,0,0,0,0,273,3,22.92,22.92
00-0036554,N.Collins,WR,10,JAX,15,7,0,0,136,0,0,0,22.6,15.600000000000001
00-0037840,K.Williams,RB,10,SF,3,2,73,2,11,0,0,0,22.4,20.4
00-0037239,C.Olave,WR,10,CAR,8,5,0,0,104,1,0,0,21.4,16.4
00-0039915,L.McConkey,WR,10,PIT,6,4,0,0,107,1,0,0,20.700000000000003,16.700000000000003
00-0039919,R.Odunze,WR,10,NYG,10,6,0,0,86,1,0,0,20.6,14.6
00-0038543,J.Smith-Njigba,WR,10,ARI,6,5,0,0,93,1,0,0,20.3,15.3
