player_id,player_name,position,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0039918,C.Williams,QB,MIN,0,0,58,1,0,0,210,1,24.200000000000003,24.200000000000003
00-0033307,K.Bourne,WR,LA,11,10,0,0,142,0,0,0,24.200000000000003,14.200000000000001
00-0039342,X.Legette,WR,NYJ,11,9,0,0,92,1,0,0,24.200000000000003,15.200000000000001
00-0040715,C.Skattebo,RB,KC,8,6,60,1,61,0,0,0,24.1,18.1
00-0033280,C.McCaffrey,RB,TB,8,7,54,1,57,0,0,0,24.1,17.1
00-0040718,T.Hunter,WR,LA,14,8,0,0,101,1,0,0,24.1,16.1
00-0036389,J.Hurts,QB,MIN,0,0,-10,0,0,0,326,3,24.04,24.04
00-0039917,M.Penix,QB,TB,0,0,21,1,0,0,298,1,24.02,24.02
00-0039868,T.Franklin,WR,IND,9,8,11,0,89,1,0,0,24,16
00-0033280,C.McCaffrey,RB,ARI,15,10,52,0,88,0,0,0,24,14
00-0038041,J.Ferguson,TE,NYJ,9,7,0,0,49,2,0,0,23.9,16.9
00-0034983,H.Renfrow,WR,ARI,9,7,0,0,48,2,0,0,23.8,16.8
00-0034348,C.Sutton,WR,LAC,8,6,0,0,118,1,0,0,23.8,17.8
00-0038544,Q.Johnston,WR,NYG,13,8,0,0,98,1,0,0,23.8,15.8
00-0036223,J.Taylor,RB,ARI,4,4,123,1,14,0,0,0,23.700000000000003,19.700000000000003
00-0040129,E.Egbuka,WR,ATL,6,4,9,0,67,2,0,0,23.6,19.6
00-0037525,J.Mason,RB,CIN,0,0,116,2,0,0,0,0,23.6,23.6
00-0035640,D.Metcalf,WR,MIN,5,5,0,0,126,1,0,0,23.6,18.6
00-0035719,D.Samuel,WR,LAC,11,8,0,0,96,1,0,0,23.6,15.600000000000001
00-0040691,J.Dart,QB,PHI,0,0,58,1,0,0,195,1,23.6,23.6
00-0033077,D.Prescott,QB,WAS,0,0,7,0,0,0,264,3,23.26,23.26
00-0039851,D.Maye,QB,CAR,0,0,11,1,0,0,203,2,23.220000000000002,23.220000000000002
00-0033280,C.McCaffrey,RB,SEA,10,9,69,0,73,0,0,0,23.200000000000003,14.200000000000001
00-0039067,R.Rice,WR,LV,10,7,0,0,42,2,0,0,23.2,16.2
00-0039075,P.Nacua,WR,HOU,11,10,1,0,130,0,0,0,23.1,13.100000000000001
00-0037256,R.White,RB,SEA,4,4,41,2,30,0,0,0,23.1,19.1
00-0039851,D.Maye,QB,TEN,0,0,62,0,0,0,222,2,23.080000000000002,23.080000000000002
00-0034857,J.Allen,QB,MIA,0,0,25,0,0,0,213,3,23.02,23.02
00-0036613,J.Waddle,WR,CAR,9,6,0,0,110,1,0,0,23,17
00-0039893,B.Thomas,WR,SEA,10,8,0,0,90,1,0,0,23,15
00-0039915,L.McConkey,WR,MIA,9,7,0,0,100,1,0,0,23,16
00-0035676,A.Brown,WR,LA,10,6,0,0,109,1,0,0,22.9,16.9
00-0035710,D.Jones,QB,DEN,0,0,2,1,0,0,316,1,22.84,22.84
