player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0032764,D.Henry,RB,17,GB,0,0,216,4,0,0,0,0,45.6,45.6
00-0038542,B.Robinson,RB,17,LA,8,5,195,1,34,1,0,0,39.900000000000006,34.900000000000006
00-0037834,B.Purdy,QB,17,CHI,0,0,28,2,0,0,303,3,36.92,36.92
00-0039851,D.Maye,QB,17,NYJ,0,0,22,0,0,0,256,5,32.440000000000005,32.440000000000005
00-0038128,M.Willis,QB,17,BAL,0,0,60,2,0,0,288,1,31.519999999999996,31.519999999999996
00-0038597,C.Brown,RB,17,ARI,3,3,101,2,40,0,0,0,29.1,26.1
00-0033280,C.McCaffrey,RB,17,CHI,6,4,140,1,41,0,0,0,28.1,24.1
00-0040735,L.Burden,WR,17,SF,9,8,0,0,138,1,0,0,27.8,19.8
00-0036875,R.Stevenson,RB,17,NYJ,5,5,47,1,55,1,0,0,27.200000000000003,22.200000000000003
00-0039165,Z.Charbonnet,RB,17,CAR,2,2,110,2,12,0,0,0,26.200000000000003,24.200000000000003
00-0037239,C.Olave,WR,17,TEN,11,8,0,0,119,1,0,0,25.9,17.9
00-0040691,J.Dart,QB,17,LV,0,0,48,2,0,0,207,0,25.08,25.08
00-0036900,J.Chase,WR,17,ARI,9,7,0,0,60,2,0,0,25,18
00-0033921,C.Godwin,WR,17,MIA,8,7,0,0,108,1,0,0,23.8,16.8
00-0037744,T.McBride,TE,17,CIN,13,10,0,0,76,1,0,0,23.6,13.600000000000001
00-0034857,J.Allen,QB,17,PHI,0,0,27,2,0,0,262,0,23.18,23.18
00-0036971,T.Lawrence,QB,17,IND,0,0,26,2,0,0,263,0,23.119999999999997,23.119999999999997
00-0039918,C.Williams,QB,17,SF,0,0,18,0,0,0,330,2,23.000000000000004,23.000000000000004
00-0033077,D.Prescott,QB,17,WAS,0,0,24,0,0,0,307,2,22.68,22.68
00-0040242,J.Croskey-Merritt,RB,17,DAL,0,0,105,2,0,0,0,0,22.5,22.5
00-0038117,W.Robinson,WR,17,LV,14,11,0,0,113,0,0,0,22.3,11.3
00-0038124,C.Watson,WR,17,BAL,6,5,0,0,113,1,0,0,22.3,17.3
00-0031588,S.Diggs,WR,17,NYJ,6,6,0,0,101,1,0,0,22.1,16.1
00-0040743,T.Shough,QB,17,TEN,0,0,6,0,0,0,333,2,21.92,21.92
00-0036275,D.Swift,RB,17,SF,3,2,54,2,25,0,0,0,21.9,19.9
00-0040126,C.Loveland,TE,17,SF,10,6,0,0,94,1,0,0,21.4,15.4
00-0038120,B.Hall,RB,17,NE,3,2,111,1,18,0,0,0,20.9,18.9
00-0036442,J.Burrow,QB,17,ARI,0,0,2,0,0,0,305,2,20.400000000000002,20.400000000000002
00-0040666,O.Hampton,RB,17,HOU,8,8,29,1,31,0,0,0,20,12
00-0038559,M.Wilson,WR,17,CIN,10,5,0,0,89,1,0,0,19.9,14.9
00-0039732,B.Nix,QB,17,KC,0,0,42,1,0,0,182,1,19.48,19.48
00-0037112,J.Tonges,TE,17,CHI,9,7,0,0,60,1,0,0,19,12
00-0038606,P.Washington,WR,17,IND,10,8,-5,0,115,0,0,0,19,11
00-0040730,R.Harvey,RB,17,KC,6,5,43,0,33,1,0,0,18.6,13.600000000000001
00-0039855,J.McMillan,WR,17,MIA,9,7,0,0,114,0,0,0,18.4,11.4
00-0039066,M.Mayer,TE,17,NYG,10,9,0,0,89,0,0,0,17.9,8.9
00-0034855,B.Mayfield,QB,17,MIA,0,0,16,0,0,0,346,2,17.44,17.44
00-0036223,J.Taylor,RB,17,JAX,6,3,70,1,14,0,0,0,17.4,14.4
00-0040676,C.Ward,QB,17,NO,0,0,10,0,0,0,251,2,17.04,17.04
00-0035250,D.Singletary,RB,17,LV,4,4,45,1,25,0,0,0,17,13
00-0039373,A.Estime,RB,17,TEN,1,1,94,1,4,0,0,0,16.8,15.8
00-0040130,J.Higgins,WR,17,LAC,4,2,0,0,88,1,0,0,16.8,14.8
00-0033119,J.Brissett,QB,17,CIN,0,0,0,0,0,0,212,2,16.48,16.48
00-0038543,J.Smith-Njigba,WR,17,CAR,12,9,0,0,72,0,0,0,16.2,7.2
00-0037252,G.Dulcich,TE,17,TB,6,5,-7,0,58,1,0,0,16.1,11.100000000000001
00-0037840,K.Williams,RB,17,ATL,3,3,92,0,38,0,0,0,16,13
00-0040234,Q.Ewers,QB,17,TB,1,1,5,0,-6,0,172,2,15.78,14.78
00-0039075,P.Nacua,WR,17,ATL,10,5,0,0,47,1,0,0,15.7,10.7
00-0037801,K.Turpin,WR,17,WAS,1,1,0,0,86,1,0,0,15.6,14.6
00-0033293,A.Jones,RB,17,DET,4,3,53,1,10,0,0,0,15.3,12.3
00-0037231,K.Austin,WR,17,TEN,5,4,0,0,52,1,0,0,15.2,11.2
00-0036355,J.Herbert,QB,17,HOU,0,0,37,0,0,0,236,1,15.14,15.14
00-0036963,A.St. Brown,WR,17,MIN,13,8,0,0,68,0,0,0,14.8,6.800000000000001
00-0038544,Q.Johnston,WR,17,HOU,8,5,0,0,98,0,0,0,14.8,9.8
00-0040138,J.Noel,WR,17,LAC,4,3,2,0,54,1,0,0,14.600000000000001,11.600000000000001
00-0037809,C.Okonkwo,TE,17,NO,7,3,0,0,55,1,0,0,14.5,11.5
00-0035993,T.Huntley,QB,17,GB,0,0,60,0,0,0,107,1,14.280000000000001,14.280000000000001
00-0039040,D.Achane,RB,17,TB,3,3,83,0,29,0,0,0,14.200000000000001,11.200000000000001
00-0031236,B.Cooks,WR,17,PHI,6,4,0,0,101,0,0,0,14.100000000000001,10.100000000000001
00-0033090,H.Henry,TE,17,NYJ,3,3,0,0,49,1,0,0,13.9,10.9
00-0040669,I.TeSlaa,WR,17,MIN,4,3,0,0,49,1,0,0,13.9,10.9
00-0039163,C.Stroud,QB,17,LAC,0,0,0,0,0,0,244,2,13.759999999999998,13.759999999999998
00-0040170,E.Ayomanor,WR,17,NO,7,4,0,0,37,1,0,0,13.7,9.7
00-0036040,J.Johnson,TE,17,TEN,4,4,0,0,95,0,0,0,13.5,9.5
00-0039916,R.Pearsall,WR,17,CHI,8,5,0,0,85,0,0,0,13.5,8.5
00-0040737,T.Ferguson,TE,17,ATL,4,2,0,0,54,1,0,0,13.4,11.4
00-0039793,A.Barner,TE,17,CAR,3,3,0,0,43,1,0,0,13.3,10.3
00-0040311,T.Wease,WR,17,TB,1,1,0,0,63,1,0,0,13.3,12.3
00-0039064,Z.Flowers,WR,17,GB,5,4,0,0,30,1,0,0,13,9
00-0026498,M.Stafford,QB,17,ATL,0,0,0,0,0,0,269,2,12.759999999999998,12.759999999999998
00-0038994,J.Addison,WR,17,DET,1,0,65,1,0,0,0,0,12.5,12.5
00-0036259,J.Jennings,WR,17,CHI,4,2,0,0,42,1,0,0,12.2,10.2
00-0040189,O.Gadsden,TE,17,HOU,6,3,0,0,32,1,0,0,12.2,9.2
00-0031408,M.Evans,WR,17,MIA,7,3,0,0,31,1,0,0,12.1,9.1
00-0040563,E.Chism,WR,17,NYJ,2,2,0,0,40,1,0,0,12,10
00-0035676,A.Brown,WR,17,BUF,7,5,0,0,68,0,0,0,11.8,6.800000000000001
00-0037247,G.Pickens,WR,17,WAS,5,4,0,0,78,0,0,0,11.8,7.800000000000001
00-0035261,T.Pollard,RB,17,NO,2,2,85,0,10,0,0,0,11.5,9.5
00-0036997,J.Williams,RB,17,WAS,2,0,54,1,0,0,0,0,11.4,11.4
00-0035659,T.McLaurin,WR,17,DAL,7,5,0,0,63,0,0,0,11.3,6.300000000000001
00-0035719,D.Samuel,WR,17,DAL,4,2,25,0,68,0,0,0,11.3,9.3
00-0036244,C.Parkinson,TE,17,ATL,7,6,0,0,53,0,0,0,11.3,5.300000000000001
00-0036973,T.Etienne,RB,17,IND,3,2,76,0,16,0,0,0,11.200000000000001,9.200000000000001
00-0033217,M.Alie-Cox,TE,17,JAX,3,3,0,0,20,1,0,0,11,8
00-0040663,H.Fannin,TE,17,PIT,2,2,0,0,30,1,0,0,11,9
00-0038359,X.Smith,WR,17,ATL,6,4,0,0,67,0,0,0,10.7,6.7
00-0036407,J.Jeudy,WR,17,PIT,7,5,0,0,54,0,0,0,10.4,5.4
00-0037563,M.Davis,RB,17,WAS,2,0,103,0,0,0,0,0,10.3,10.3
00-0040705,C.Dike,WR,17,NO,5,4,7,0,55,0,0,0,10.2,6.2
00-0036410,T.Higgins,WR,17,ARI,5,4,0,0,59,0,0,0,9.9,5.9
00-0038563,T.Tucker,WR,17,NYG,6,5,0,0,49,0,0,0,9.9,4.9
00-0034351,D.Goedert,TE,17,BUF,6,3,0,0,8,1,0,0,9.8,6.8
00-0036358,C.Lamb,WR,17,WAS,10,5,0,0,46,0,0,0,9.600000000000001,4.6000000000000005
00-0037261,K.Shakir,WR,17,PHI,7,6,0,0,35,0,0,0,9.5,3.5
00-0040078,B.Smith,RB,17,DEN,4,3,0,0,5,1,0,0,9.5,6.5
00-0040668,S.Sanders,QB,17,PIT,0,0,20,0,0,0,186,1,9.440000000000001,9.440000000000001
00-0029892,K.Juszczyk,FB,17,CHI,2,2,0,0,14,1,0,0,9.4,7.4
00-0036139,R.Dowdle,RB,17,SEA,5,3,59,0,4,0,0,0,9.3,6.300000000000001
