player_id,player_name,position,week,opponent,targets,receptions,rushing_yards,rushing_tds,receiving_yards,receiving_tds,passing_yards,passing_tds,fantasy_points_ppr,fantasy_points
00-0035676,A.Brown,WR,13,CHI,12,10,0,0,132,2,0,0,35.2,25.200000000000003
00-0038542,B.Robinson,RB,13,NYJ,7,5,142,1,51,0,0,0,30.3,25.3
00-0033873,P.Mahomes,QB,13,DAL,0,0,30,0,0,0,261,4,29.439999999999998,29.439999999999998
00-0039067,R.Rice,WR,13,DAL,12,8,2,0,92,2,0,0,29.4,21.4
00-0038393,D.Wicks,WR,13,DET,7,6,6,0,94,2,0,0,28,22
00-0037240,J.Williams,WR,13,GB,10,7,-5,0,144,1,0,0,26.9,19.9
00-0036264,J.Love,QB,13,DET,0,0,4,0,0,0,234,4,25.759999999999998,25.759999999999998
00-0036358,C.Lamb,WR,13,KC,9,7,0,0,112,1,0,0,24.200000000000003,17.200000000000003
00-0039890,A.Mitchell,WR,13,ATL,12,8,0,0,102,1,0,0,24.200000000000003,16.200000000000003
00-0039424,D.Vele,WR,13,MIA,8,8,0,0,93,1,0,0,23.3,15.3
00-0032268,M.Mariota,QB,13,DEN,0,0,55,0,0,0,294,2,23.259999999999998,23.259999999999998
00-0035659,T.McLaurin,WR,13,DEN,14,7,0,0,96,1,0,0,22.6,15.600000000000001
00-0039150,B.Young,QB,13,LA,0,0,23,0,0,0,206,3,22.540000000000003,22.540000000000003
00-0039338,B.Bowers,TE,13,LAC,4,4,0,0,63,2,0,0,22.3,18.3
00-0037744,T.McBride,TE,13,TB,9,8,0,0,82,1,0,0,22.200000000000003,14.200000000000001
00-0031381,D.Adams,WR,13,CAR,5,4,0,0,58,2,0,0,21.8,17.8
00-0036971,T.Lawrence,QB,13,TEN,0,0,25,0,0,0,229,2,21.66,21.66
00-0036554,N.Collins,WR,13,IND,10,5,7,1,98,0,0,0,21.5,16.5
00-0034960,J.Meyers,WR,13,TEN,6,6,3,0,90,1,0,0,21.3,15.3
00-0028118,T.Taylor,QB,13,ATL,0,0,44,1,0,0,172,1,21.28,21.28
00-0040730,R.Harvey,RB,13,WAS,4,3,35,2,27,0,0,0,21.2,18.2
00-0036275,D.Swift,RB,13,PHI,2,1,125,1,13,0,0,0,20.8,19.8
00-0039391,K.Vidal,RB,13,LV,1,1,126,1,11,0,0,0,20.700000000000003,19.700000000000003
00-0033106,J.Goff,QB,13,GB,0,0,24,0,0,0,256,2,20.64,20.64
00-0030061,Z.Ertz,TE,13,DEN,13,10,0,0,106,0,0,0,20.6,10.600000000000001
00-0033077,D.Prescott,QB,13,KC,0,0,-2,0,0,0,320,2,20.6,20.6
00-0039851,D.Maye,QB,13,NYG,0,0,12,0,0,0,282,2,20.48,20.48
00-0036555,C.Hubbard,RB,13,LA,2,2,83,0,41,1,0,0,20.4,18.4
00-0033119,J.Brissett,QB,13,TB,0,0,16,0,0,0,301,2,19.64,19.64
00-0039040,D.Achane,RB,13,NO,1,0,134,1,0,0,0,0,19.4,19.4
00-0036442,J.Burrow,QB,13,BAL,0,0,8,0,0,0,261,2,19.24,19.24
00-0035250,D.Singletary,RB,13,NE,3,3,68,1,34,0,0,0,19.200000000000003,16.200000000000003
00-0040236,K.Monangai,RB,13,PHI,1,0,130,1,0,0,0,0,19,19
00-0037248,J.Cook,RB,13,PIT,3,3,144,0,33,0,0,0,18.7,15.7
00-0038124,C.Watson,WR,13,DET,10,4,3,0,80,1,0,0,18.3,14.3
00-0038597,C.Brown,RB,13,BAL,7,7,78,0,35,0,0,0,18.3,11.3
00-0036900,J.Chase,WR,13,BAL,14,7,0,0,110,0,0,0,18,11
00-0037664,A.Pierce,WR,13,HOU,5,4,0,0,78,1,0,0,17.8,13.8
00-0032764,D.Henry,RB,13,CIN,1,1,60,1,44,0,0,0,17.4,16.4
00-0033280,C.McCaffrey,RB,13,CLE,4,4,53,1,21,0,0,0,17.4,13.4
00-0039491,J.Coker,WR,13,LA,6,4,0,0,74,1,0,0,17.4,13.4
00-0040743,T.Shough,QB,13,MIA,0,0,18,0,0,0,239,2,17.360000000000003,17.360000000000003
00-0034348,C.Sutton,WR,13,WAS,6,5,0,0,62,1,0,0,17.2,12.2
